RM1,RM2,RT1,RT2,T
17320.3,8621.59,33800,10000,6.2
17348,8624.03,33790,10000,6.21
17375.7,8626.47,33780,10000,6.22
17403.3,8628.92,33770,10000,6.23
17431,8631.38,33760,10000,6.24
17458.6,8633.84,33750,10000,6.25
17486.3,8636.31,33740,10000,6.26
17514,8638.79,33730,10000,6.27
17541.6,8641.27,33720,10000,6.28
17569.3,8643.76,33710,10000,6.29
17596.9,8646.26,33700,10000,6.3
17624.6,8648.76,33690,10000,6.31
17652.2,8651.27,33680,10000,6.32
17679.9,8653.78,33670,10000,6.33
17707.6,8656.3,33660,10000,6.34
17735.2,8658.83,33650,10000,6.35
17762.9,8661.36,33640,10000,6.36
17790.5,8663.9,33630,10000,6.37
17818.2,8666.44,33620,10000,6.38
17845.8,8668.99,33610,10000,6.39
17873.5,8671.55,33600,10000,6.4
17901.1,8674.11,33590,10000,6.41
17928.8,8676.68,33580,10000,6.42
17956.4,8679.25,33570,10000,6.43
17984.1,8681.83,33560,10000,6.44
18011.7,8684.42,33550,10000,6.45
18039.4,8687.01,33540,10000,6.46
18067,8689.61,33530,10000,6.47
18094.7,8692.21,33520,10000,6.48
18122.3,8694.82,33510,10000,6.49
18150,8697.43,33500,10000,6.5
18177.6,8700.05,33490,10000,6.51
18205.3,8702.68,33480,10000,6.52
18232.9,8705.31,33470,10000,6.53
18260.6,8707.95,33460,10000,6.54
18288.2,8710.59,33450,10000,6.55
18315.8,8713.24,33440,10000,6.56
18343.5,8715.89,33430,10000,6.57
18371.1,8718.55,33420,10000,6.58
18398.8,8721.22,33410,10000,6.59
18426.4,8723.89,33400,10000,6.6
18454.1,8726.56,33390,10000,6.61
18481.7,8729.24,33380,10000,6.62
18509.3,8731.93,33370,10000,6.63
18537,8734.62,33360,10000,6.64
18564.6,8737.32,33350,10000,6.65
18592.3,8740.02,33340,10000,6.66
18619.9,8742.73,33330,10000,6.67
18647.5,8745.44,33320,10000,6.68
18675.2,8748.16,33310,10000,6.69
18702.8,8750.88,33300,10000,6.7
18730.5,8753.61,33290,10000,6.71
18758.1,8756.34,33280,10000,6.72
18785.7,8759.08,33270,10000,6.73
18813.4,8761.82,33260,10000,6.74
18841,8764.57,33250,10000,6.75
18868.6,8767.32,33240,10000,6.76
18896.3,8770.08,33230,10000,6.77
18923.9,8772.84,33220,10000,6.78
18951.5,8775.61,33210,10000,6.79
18979.2,8778.38,33200,10000,6.8
19006.8,8781.16,33190,10000,6.81
19034.4,8783.94,33180,10000,6.82
19062.1,8786.73,33170,10000,6.83
19089.7,8789.52,33160,10000,6.84
19117.3,8792.32,33150,10000,6.85
19145,8795.12,33140,10000,6.86
19172.6,8797.93,33130,10000,6.87
19200.2,8800.74,33120,10000,6.88
19227.9,8803.55,33110,10000,6.89
19255.5,8806.37,33100,10000,6.9
19283.1,8809.2,33090,10000,6.91
19310.8,8812.03,33080,10000,6.92
19338.4,8814.86,33070,10000,6.93
19366,8817.7,33060,10000,6.94
19393.6,8820.54,33050,10000,6.95
19421.3,8823.39,33040,10000,6.96
19448.9,8826.24,33030,10000,6.97
19476.5,8829.1,33020,10000,6.98
19504.1,8831.96,33010,10000,6.99
19531.8,8834.82,33000,10000,7
